Zone,VictimType,VictimColor,Zcoords,Xcoords
,0,Green,57,-2224
,0,Green,45,-2224
,0,Green,35,-2217
,0,Green,13,-2216
,0,Green,12,-2216
,0,Green,58,-2215
,0,Green,-3,-2212
,0,Green,13,-2207
,0,Green,59,-2205
,0,Green,48,-2201
,0,Green,13,-2201
,0,Green,-1,-2197
,0,Green,57,-2195
,0,Green,-1,-2195
,0,Green,-1,-2193
,0,Green,42,-2182
,0,Green,47,-2177
,0,Green,45,-2176
,0,Green,14,-2169
,0,Green,8,-2165
,0,Green,9,-2163
,0,Green,5,-2163
,0,Green,8,-2159
,0,Green,2,-2155
,0,Green,17,-2154
,0,Green,12,-2154
,0,Green,50,-2152
,0,Green,10,-2152
,0,Green,37,-2151
,0,Green,55,-2148
,0,Green,34,-2147
,0,Green,44,-2146
,0,Green,41,-2142
,0,Green,35,-2139
,0,Green,22,-2133
,0,Green,17,-2132
,0,Green,9,-2132
,0,Green,19,-2128
,0,Green,13,-2126
,0,Green,43,-2099
,0,Green,38,-2099
,0,Green,4,-2098
,0,Green,22,-2097
,0,Green,34,-2094
,0,Green,3,-2094
,0,Green,38,-2092
,0,Green,30,-2092
,0,Green,57,-2089
,0,Green,48,-2088
,0,Green,23,-2090
,1,Yellow,49,-2222
,1,Yellow,1,-2178
,1,Yellow,40,-2138
,1,Yellow,13,-2108
,1,Yellow,52,-2093
