X_coord,Y_coord,StackHeight,Classification
-2223,2,2,1
-2223,41,2,1
-2223,44,2,1
-2223,45,3,1
-2223,48,2,1
-2222,1,2,1
-2222,41,2,1
-2222,48,2,1
-2222,50,2,1
-2221,0,1,2
-2221,41,3,1
-2221,48,3,1
-2221,49,3,1
-2221,50,3,1
-2220,41,3,1
-2219,41,3,1
-2219,42,3,1
-2219,43,3,1
-2219,57,2,3
-2219,58,3,1
-2218,32,3,1
-2218,33,2,3
-2218,34,2,3
-2218,35,2,3
-2218,36,3,1
-2217,12,2,3
-2217,13,3,1
-2217,31,3,1
-2217,36,3,1
-2214,-4,3,1
-2214,-3,3,1
-2213,-4,2,1
-2213,28,2,1
-2213,29,3,1
-2213,30,3,1
-2213,31,3,1
-2213,32,3,1
-2212,-4,2,1
-2212,28,1,1
-2212,29,2,1
-2212,30,3,1
-2212,32,3,1
-2212,33,2,1
-2211,-4,2,1
-2211,33,2,1
-2211,34,1,1
-2210,38,2,1
-2208,12,2,1
-2208,13,2,1
-2208,14,2,1
-2208,15,2,1
-2208,16,2,1
-2207,17,1,1
-2207,18,1,1
-2207,19,1,1
-2206,58,2,1
-2205,47,3,1
-2205,58,2,1
-2204,58,3,1
-2203,14,2,1
-2203,58,3,1
-2203,59,3,1
-2202,14,2,3
-2201,14,3,1
-2200,13,3,1
-2200,14,3,1
-2197,0,2,3
-2196,-1,2,3
-2196,0,2,3
-2196,1,2,1
-2196,2,2,1
-2196,56,2,1
-2196,57,2,3
-2196,58,2,1
-2195,56,3,1
-2195,58,3,1
-2194,-1,2,1
-2194,0,2,1
-2194,1,2,1
-2194,17,2,1
-2194,18,2,1
-2194,19,2,1
-2194,20,2,1
-2194,21,2,1
-2194,36,2,2
-2194,37,2,2
-2194,56,3,1
-2194,57,3,1
-2194,58,3,1
-2191,50,3,1
-2187,28,2,1
-2187,29,2,1
-2187,30,3,1
-2186,28,2,2
-2186,30,3,1
-2182,22,2,2
-2182,23,2,2
-2182,55,2,3
-2182,56,2,3
-2182,57,2,1
-2181,22,2,1
-2181,42,2,1
-2181,43,2,1
-2181,44,3,1
-2181,57,2,3
-2180,0,3,1
-2180,1,3,1
-2180,2,3,1
-2180,22,3,1
-2180,57,3,1
-2179,2,3,1
-2179,55,3,1
-2179,56,3,1
-2179,57,3,1
-2178,2,3,1
-2178,46,3,1
-2178,47,3,1
-2177,-1,2,1
-2177,0,2,1
-2177,1,2,1
-2177,2,2,1
-2177,46,2,3
-2176,46,2,1
-2173,37,3,1
-2172,-1,2,2
-2172,0,2,1
-2172,37,2,2
-2171,0,3,1
-2171,37,2,2
-2170,-1,3,1
-2170,0,3,1
-2169,15,2,1
-2166,37,2,1
-2166,38,3,1
-2166,39,3,1
-2166,40,3,1
-2165,37,2,2
-2165,40,3,1
-2164,37,2,1
-2164,38,2,2
-2164,39,2,2
-2164,40,3,1
-2163,10,3,3
-2157,12,1,1
-2157,17,1,1
-2156,1,2,1
-2156,2,2,1
-2156,3,2,1
-2156,12,1,1
-2156,17,1,1
-2155,1,3,1
-2155,12,1,1
-2155,17,1,1
-2154,1,3,1
-2154,2,3,1
-2154,3,3,1
-2154,4,2,1
-2153,48,2,1
-2153,49,2,3
-2153,50,2,3
-2153,51,3,1
-2152,35,2,1
-2152,36,2,1
-2152,37,3,1
-2152,38,3,1
-2152,48,2,3
-2152,51,3,1
-2151,38,3,1
-2151,48,2,1
-2151,51,3,1
-2150,55,3,1
-2150,56,3,1
-2149,56,3,1
-2148,44,2,1
-2148,45,2,1
-2148,56,2,3
-2147,33,3,1
-2147,45,2,1
-2147,55,2,3
-2147,56,2,1
-2146,33,3,1
-2146,45,2,1
-2145,33,2,1
-2145,34,2,3
-2145,35,2,3
-2145,45,3,1
-2143,38,2,1
-2143,40,2,1
-2143,41,2,1
-2143,42,2,1
-2143,43,3,1
-2142,38,2,1
-2142,43,3,1
-2140,34,3,1
-2139,34,3,1
-2139,44,3,1
-2138,34,2,1
-2138,35,2,1
-2138,42,2,1
-2138,44,3,1
-2137,42,2,1
-2133,8,3,1
-2133,9,3,1
-2133,17,3,1
